event_id,time,label,pass,dut_count,ref_count,dut_zero,ref_zero,dut_max,ref_max,dut_accepted_count,ref_accepted_count,dut_status,ref_status,dut_cmd_ready
1,16000,EQ_RESET_asserted,1,0,0,1,1,0,0,0,0,0,0,1
2,21000,EQ_RESET_deasserted,1,0,0,1,1,0,0,0,0,0,0,1
3,36000,EQ_LOAD_BOUNDARY_0,1,0,0,1,1,0,0,1,1,1,1,1
4,41000,EQ_LOAD_BOUNDARY_0_idle,1,0,0,1,1,0,0,1,1,1,1,1
5,56000,EQ_LOAD_BOUNDARY_128,1,128,128,0,0,0,0,2,2,1,1,1
6,61000,EQ_LOAD_BOUNDARY_128_idle,1,128,128,0,0,0,0,2,2,1,1,1
7,76000,EQ_LOAD_BOUNDARY_255,1,255,255,0,0,1,1,3,3,1,1,1
8,81000,EQ_LOAD_BOUNDARY_255_idle,1,255,255,0,0,1,1,3,3,1,1,1
9,96000,EQ_INC_SATURATE,1,255,255,0,0,1,1,4,4,2,2,1
10,101000,EQ_INC_SATURATE_idle,1,255,255,0,0,1,1,4,4,2,2,1
11,116000,EQ_CLEAR,1,0,0,1,1,0,0,5,5,0,0,1
12,121000,EQ_CLEAR_idle,1,0,0,1,1,0,0,5,5,0,0,1
13,136000,EQ_DEC_SATURATE,1,0,0,1,1,0,0,6,6,3,3,1
14,141000,EQ_DEC_SATURATE_idle,1,0,0,1,1,0,0,6,6,3,3,1
15,156000,EQ_LOAD,1,66,66,0,0,0,0,7,7,1,1,1
16,161000,EQ_LOAD_idle,1,66,66,0,0,0,0,7,7,1,1,1
17,176000,EQ_INC,1,67,67,0,0,0,0,8,8,2,2,1
18,181000,EQ_INC_idle,1,67,67,0,0,0,0,8,8,2,2,1
19,196000,EQ_DEC,1,66,66,0,0,0,0,9,9,3,3,1
20,201000,EQ_DEC_idle,1,66,66,0,0,0,0,9,9,3,3,1
21,216000,EQ_HOLD,1,66,66,0,0,0,0,10,10,4,4,1
22,221000,EQ_HOLD_idle,1,66,66,0,0,0,0,10,10,4,4,1
23,236000,EQ_INVALID_5,1,66,66,0,0,0,0,11,11,5,5,1
24,241000,EQ_INVALID_5_idle,1,66,66,0,0,0,0,11,11,5,5,1
25,256000,EQ_INVALID_6,1,66,66,0,0,0,0,12,12,6,6,1
26,261000,EQ_INVALID_6_idle,1,66,66,0,0,0,0,12,12,6,6,1
27,276000,EQ_INVALID_7,1,66,66,0,0,0,0,13,13,7,7,1
28,281000,EQ_INVALID_7_idle,1,66,66,0,0,0,0,13,13,7,7,1
29,296000,EQ_BACK_TO_BACK_INC,1,67,67,0,0,0,0,14,14,2,2,1
30,306000,EQ_BACK_TO_BACK_DEC,1,66,66,0,0,0,0,15,15,3,3,1
31,316000,EQ_BACK_TO_BACK_INC2,1,67,67,0,0,0,0,16,16,2,2,1
32,321000,EQ_BACK_TO_BACK_INC2_idle,1,67,67,0,0,0,0,16,16,2,2,1
33,331000,EQ_ACCEPTED_COUNT_PRELOAD_FORCE,1,67,67,0,0,0,0,4294967295,4294967295,2,2,1
34,332000,EQ_ACCEPTED_COUNT_PRELOAD_RELEASE,1,67,67,0,0,0,0,4294967295,4294967295,2,2,1
35,346000,EQ_ACCEPTED_COUNT_WRAP,1,67,67,0,0,0,0,0,0,4,4,1
36,351000,EQ_ACCEPTED_COUNT_WRAP_idle,1,67,67,0,0,0,0,0,0,4,4,1
37,351000,EQ_ACCEPTED_COUNT_WRAP_POSTCHECK,1,67,67,0,0,0,0,0,0,4,4,1
